X: 83.5501937866211, Y: 13.194117546081543
X: 83.07122039794922, Y: 13.224710464477539
X: 82.5916519165039, Y: 13.25244140625
X: 82.11148071289062, Y: 13.274707794189453
X: 81.63069152832031, Y: 13.294617652893066
X: 81.63069152832031, Y: 13.294617652893066
X: 81.63069152832031, Y: 13.294617652893066
X: 81.63069152832031, Y: 13.294617652893066
X: 81.63069152832031, Y: 13.294617652893066
X: 81.63069152832031, Y: 13.294617652893066
X: 81.63069152832031, Y: 13.294617652893066
X: 81.63069152832031, Y: 13.294617652893066
X: 81.63069152832031, Y: 13.294617652893066
X: 81.63069152832031, Y: 13.294617652893066
X: 81.63069152832031, Y: 13.294617652893066
X: 81.63069152832031, Y: 13.294617652893066
X: 81.63069152832031, Y: 13.294617652893066
X: 81.63069152832031, Y: 13.294617652893066
X: 81.63069152832031, Y: 13.294617652893066
X: 81.63069152832031, Y: 13.294617652893066
X: 81.1484603881836, Y: 13.31967830657959
X: 80.65889739990234, Y: 13.347806930541992
X: 79.6517562866211, Y: 13.407093048095703
X: 78.11671447753906, Y: 13.499191284179688
X: 77.06385040283203, Y: 13.562824249267578
X: 75.97076416015625, Y: 13.628955841064453
X: 74.83106994628906, Y: 13.696386337280273
X: 73.63892364501953, Y: 13.765870094299316
X: 72.40447998046875, Y: 13.776909828186035
X: 71.77362823486328, Y: 13.767955780029297
X: 70.4798583984375, Y: 13.764923095703125
X: 69.13018035888672, Y: 13.764659881591797
X: 67.72113800048828, Y: 13.762455940246582
X: 66.27781677246094, Y: 13.764257431030273
X: 64.79948425292969, Y: 13.765103340148926
X: 63.295082092285156, Y: 13.766319274902344
X: 61.83491134643555, Y: 13.767047882080078
X: 60.454856872558594, Y: 13.767595291137695
X: 59.15472412109375, Y: 13.768305778503418
X: 57.36101531982422, Y: 13.767495155334473
X: 56.8016242980957, Y: 13.769291877746582
X: 55.23887252807617, Y: 13.771228790283203
X: 54.739105224609375, Y: 13.770224571228027
X: 53.29780197143555, Y: 13.772907257080078
X: 52.39918899536133, Y: 13.774041175842285
X: 51.54231262207031, Y: 13.775466918945312
X: 50.72819900512695, Y: 13.777658462524414
X: 49.962913513183594, Y: 13.779730796813965
X: 49.24103546142578, Y: 13.781158447265625
X: 48.5491828918457, Y: 13.782045364379883
X: 47.89027786254883, Y: 13.782702445983887
